100372,1,40,3,R,1,1,2,1,1,1,1,1, , , ,1,1,2,2,2,2,1,1,1,44,6,2,1,7, ,TIME ON IT.,2.92,.843979129795205
100381,1,6,4,S,2,2,2,1,1,1,2,1, , , ,2, ,3,2,3,2,1,2,1,59,3,2,1,4, , ,2.8,.809295055968005
100386,1,37,3,R,2,2,2,2,2,2,2, , , , , , , , , ,1,2,1,1,44,2,2,2,1, , ,6,1.73420369136001
100390,1,19,2,R,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,3,2,1,73,8,2,1,4, , ,1.2,.346840738272002
100401,1,6,4,U,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,3,2,1,61,5,2,1,99, , ,3.36,.971154067161606
100407,1,37,3,S,1,1,1,1,1,1,1,2,1,1,2, , , , , ,1,3,2,1,70,7,2,1,6,PRIVICY |N, ,1,.289033948560002
100408,1,6,4,U,2,2,1,1,1,1,1,1, , , ,1,1,3,2,3,2,2,1,2,35,3,2,1,8, ,I DON''T HAVE TIME,3.2,.924908635392006
100409,1,42,1,U,1,2,2,1,1,2,1,1, , , ,1,1,3,1,2,3,2,2,1,35,3,2,2,3, ,I GUESS WHEN IT GETS BORING,5.44,1.57234468016641
100411,1,24,3,S,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,2,90,8,2,1,99, , ,1.52,.439331601811203
100412,1,27,2,S,2,2,1,1,1,1,1,1, , , ,1,1,2,2,3,3,2,2,1,19,4,2,1,7, ,PERSONAL CHOICE,2.56,.739926908313605
100413,1,29,2,S,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,3,2,2,68,8,2,1,4, , ,3.24,.936469993334406
100418,1,54,3,R,1,2,1,1,1,1,1,2,2, ,2, , , , , ,2,1,2,1,27,8,2,2,6, , ,3.84,1.10989036247041
100428,1,55,2,S,1,2,1,1,1,1,1,1, , , ,1,1,3,3,3,2,1,1,1,45,8,2,1,5, ,JUST TIME,2.04,.589629255062404
100434,1,6,4,S,1,1,1,1,1,1,1,2,1,1,2, , , , , ,2,1,1,1,27,4,1,6,5,WAS NOT FOR ME, ,3.68,1.06364493070081
100435,1,19,2,U,2,2,2,2,1,1,1,1, , , ,1,1,2,2,2,2,3,2,1,76,6,2,1,5, ,IT WAS NOT GETTING ME ANYWHERE,1.44,.416208885926403
100436,1,26,2,S,2,2,2,2,2,2,2, , , , , , , , , ,4,3,2,2,89,4,2,2,99, , ,2.68,.774610982140805
100438,1,48,3,U,1,2,2,1,2,1,2,2,2, ,2, , , , , ,1,3,1,2,64,3,2,2,5, , ,1.72,.497138391523203
100444,1,27,2,R,1,2,2,2,1,1,1,1, , , ,1,1,3,1,3,1,3,2,2,29,4,2,1,1, ,DRAMA,1.44,.416208885926403
100447,1,48,3,S,2,2,2,2,1,1,2,2,2, ,2, , , , , ,1,3,2,2,63,4,2,1,9, , ,1.56,.450892959753603
100451,1,46,2,S,2,1,2,1,1,1,1,1, , , ,2, ,2,2,3,1,1,1,2,46,6,2,1,7, , ,1.44,.416208885926403
100452,1,6,4,U,2,2,2,2,1,1,2,1, , , ,1,1,3,2,3,2,1,2,1,63,6,2,1,7, ,WASNT INTERESTED IN SPENDING TIME ON IT,1.52,.439331601811203
100453,1,6,4,U,2,2,2,2,1,1,1,1, , , ,2, ,2,3,3,3,3,2,1,70,4,1,5,4, , ,5.08,1.46829245868481
100454,1,32,4,S,1,1,1,1,1,1,1,2,1,1,2, , , , , ,2,3,2,1,74,3,2,1,6,TO ME ITS A GOSSPY THING AND ITS MORE FOR LADIES, ,3.08,.890224561564806
100461,1,25,1,S,2,2,2,2,1,1,2,2,2, ,2, , , , , ,1,1,2,2,66,6,2,2,6, , ,1,.289033948560002
100464,1,22,3,R,2,2,2,2,2,2,2, , , , , , , , , ,2,3,2,1,83,2,2,1,99, , ,4,1.15613579424001
100466,1,1,3,U,2,1,1,2,1,1,1,1, , , ,1,1,3,3,3,3,3,2,2,48,4,2,5,2, ,TO MUCH DRAMA,3.08,.890224561564806
100469,1,6,4,R,1,2,2,2,1,1,1,1, , , ,1,1,1,3,3,4,3,2,2,45,4,2,1,8, ,HEALTH REASONS,2.4,.693681476544005
100473,1,47,3,S,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,2,65,2,2,1,5, , ,2.36,.682120118601604
100481,1,1,3,R,2,2,2,2,2,2,2, , , , , , , , , ,3,3,2,2,65,3,2,1,2, , ,4.2,1.21394258395201
100483,1,6,4,S,1,1,1,2,1,1,1,2,2, ,2, , , , , ,2,3,2,2,70,5,1,6,8, , ,2.84,.820856413910405
100505,1,6,4,U,2,1,2,2,1,1,1,1, , , ,1,1,3,2,2,3,1,1,2,40,6,2,3,99, ,TO BUSY DOING OTHER THINGS LIKE WORK,4.04,1.16769715218241
100510,1,53,4,U,2,2,2,1,1,1,2,1, , , ,2, ,3,1,3,4,3,1,2,41,4,2,1,3, , ,7.56,2.18509665111361
100517,1,53,4,R,2,2,1,1,1,1,1,1, , , ,2, ,3,3,3,3,1,2,2,44,8,2,1,7, , ,2.96,.855540487737605
100520,1,27,2,S,2,2,2,2,1,1,2,2,2, ,2, , , , , ,1,3,2,2,80,3,2,1,99, , ,1.32,.381524812099203
100526,1,18,2,U,1,2,2,2,1,1,2,1, , , ,1,1,3,2,3,2,1,2,2,50,6,2,1,3, ,GOT BORED,3.04,.878663203622406
100531,1,13,3,U,2,2,1,1,1,1,2,1, , , ,2, ,3,2,3,1,1,1,1,46,4,2,2,6, , ,1.2,.346840738272002
100533,1,32,4,S,2,2,2,2,1,1,1,1, , , ,1,1,3,3,3,2,1,1,2,32,5,1,1,3, ,MY KIDS,4.92,1.42204702691521
100546,1,5,3,S,2,2,2,2,1,1,2,2,2, ,2, , , , , ,1,3,2,2,84,3,2,1,4, , ,1,.289033948560002
100549,1,12,3,S,1,2,1,2,1,1,2,1, , , ,1,1,2,3,3,2,3,2,1,73,5,2,1,99, ,BORING,3.16,.913347277449606
100557,1,32,4,U,2,2,2,2,1,1,2,2,2, ,2, , , , , ,6,3,2,1,60,3,2,1,5, , ,3.52,1.01739949893121
100561,1,37,3,R,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,3,2,2,60,6,1,9,2, , ,3.44,.994276783046406
100565,1,55,2,S,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,1,63,5,2,1,3, , ,2.4,.693681476544005
100571,1,22,3,R,2,2,2,2,1,1,2,2,2, ,2, , , , , ,1,1,2,1,46,6,2,1,6, , ,1,.289033948560002
100578,1,42,1,R,2,2,2,2,1,1,2,2,1,1,2, , , , , ,2,1,2,1,45,3,2,1,6,TIME, ,2.68,.774610982140805
100587,1,27,2,S,1,2,2,2,1,1,2,1, , , ,1,1,3,2,3,1,1,2,2,64,3,2,1,3, ,JUST TO BUISSY,2.08,.601190613004804
100588,1,46,2,R,2,2,2,2,2,2,2, , , , , , , , , ,1,1,1,1,48,3,2,1,99, , ,1.32,.381524812099203
100591,1,42,1,S,1,2,1,1,1,1,1,2,2, ,2, , , , , ,4,1,1,2,44,5,2,1,9, , ,4.68,1.35267887926081
100594,1,22,3,R,2,2,2,2,2,2,2, , , , , , , , , ,2,2,1,1,45,2,2,1,2, , ,8.24,2.38163973613442
100598,1,47,3,S,2,2,1,1,2,2,2, , , , , , , , , ,4,2,1,1,50,4,2,1,2, , ,2.6,.751488266256005
100599,1,6,4,S,2,2,2,2,2,2,2, , , , , , , , , ,2,3,2,2,77,5,2,2,4, , ,1.88,.543383823292803
100616,1,6,4,S,2,2,1,2,2,2,2, , , , , , , , , ,2,3,2,2,58,3,2,1,1, , ,4.76,1.37580159514561
100617,1,6,4,U,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,1,1,1,53,8,2,1,9, , ,2.04,.589629255062404
100622,1,19,2,S,2,2,2,2,1,1,2,1, , , ,2, ,3,3,3,2,1,2,2,62,5,2,1,6, , ,3,.867101845680006
100623,1,19,2,S,2,2,2,2,1,1,2,1, , , ,1,1,2,2,2,2,3,2,2,75,4,2,1,5, ,NOT INTEREST,1.88,.543383823292803
100624,1,28,3,S,2,1,2,1,1,1,1,2,2, ,2, , , , , ,1,1,2,2,99,8,2,1,99, , ,1.08,.312156664444802
100625,1,51,3,S,2,2,2,2,1,2,2,1, , , ,1,1,2,2,3,2,3,2,2,60,3,2,1,3, ,NOT INTERESTED IN IT MUCH,2.76,.797733698025605
100632,1,39,2,R,2,2,2,2,2,2,2, , , , , , , , , ,1,3,2,2,70,2,2,1,1, , ,3.24,.936469993334406
100637,1,17,2,S,2,2,2,1,1,1,2,1, , , ,2, ,3,3,3,3,2,2,1,32,4,2,1,5, , ,4.64,1.34111752131841
100638,1,6,4,S,2,2,2,2,2,2,2, , , , , , , , , ,3,3,1,1,65,3,2,1,7, , ,3.8,1.09832900452801
100641,1,32,4,U,2,2,1,2,1,1,1,1, , , ,2, ,2,2,2,3,3,2,1,63,6,1,1,99, , ,2.52,.728365550371205
100647,1,6,4,U,2,2,2,1,1,1,2,1, , , ,2, ,2,2,3,2,1,1,1,60,8,1,1,7, , ,2,.578067897120004
100649,1,5,3,R,2,2,2,2,1,1,2,2,2, ,2, , , , , ,2,3,2,2,73,6,2,2,99, , ,1,.289033948560002
